ACCOUNT_NUM,OWNERSHIP_GROUP
00000224872000000,CITY OF DALLAS
00000224893000000,CITY OF DALLAS
00000224917000000,CITY OF DALLAS
00000224923000000,CITY OF DALLAS
00000225112000000,DALLAS HOUSING AUTHORITY
00000225124000000,DALLAS HOUSING AUTHORITY
00000225340000000,CITY OF DALLAS
00000226525000000,CITY OF DALLAS
00000226531000000,CITY OF DALLAS
00000226651000000,DALLAS ISD
00000226834000000,CITY OF DALLAS
00000229867000100,CITY OF DALLAS
00000229873000100,CITY OF DALLAS
00000229969500000,CITY OF DALLAS
00000230236000000,CITY OF DALLAS
00000239497000000,DART
00000240079000100,CITY OF DALLAS
00000242167000000,CITY OF DALLAS
00000248407000000,CITY OF DALLAS
00000248407000100,CITY OF DALLAS
00000248407000200,CITY OF DALLAS
00000248426000000,CITY OF DALLAS
00000248736000000,CITY OF DALLAS
00000248770000000,CITY OF DALLAS
00000248773000000,CITY OF DALLAS
00000248794000000,CITY OF DALLAS
00000248962000000,MULTIPLE OWNERS
00000249061000000,CITY OF DALLAS
00000249553000000,CITY OF DALLAS
00000249691000000,CITY OF DALLAS
00000249769000000,CITY OF DALLAS
00000249772000000,CITY OF DALLAS
00000249775000000,CITY OF DALLAS
00000249784000000,CITY OF DALLAS
00000249793000000,CITY OF DALLAS
00000249802000000,CITY OF DALLAS
00000249808000000,CITY OF DALLAS
00000249817000000,CITY OF DALLAS
00000249829000000,CITY OF DALLAS
00000249953000000,DART
00000249965000000,DART
00000249971000000,DART
00000249972000000,DART
00000249973000000,DART
00000249979000000,DART
00000249985000000,DART
00000250405000000,DALLAS COUNTY
00000250408000000,DALLAS COUNTY
00000251014000000,DALLAS ISD
00000251017000000,DALLAS ISD
00000251224000000,DALLAS COUNTY
00000252892000000,DALLAS ISD
00000253222000000,CITY OF DALLAS
00000253375000000,CITY OF DALLAS
00000253378000000,CITY OF DALLAS
00000253381000000,CITY OF DALLAS
00000253384000000,CITY OF DALLAS
00000253387000000,CITY OF DALLAS
00000253390000000,CITY OF DALLAS
00000253393000000,CITY OF DALLAS
00000253396000000,CITY OF DALLAS
00000253399000000,CITY OF DALLAS
00000253402000000,CITY OF DALLAS
00000253405000000,CITY OF DALLAS
00000253408000000,CITY OF DALLAS
00000253411000000,CITY OF DALLAS
00000253414000000,CITY OF DALLAS
00000253621000000,CITY OF DALLAS
00000254473000000,CITY OF DALLAS
00000255721000000,CITY OF DALLAS
